2026-04-03 21:01:11,154 | apscheduler.scheduler | INFO | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-03 21:01:11,160 | apscheduler.scheduler | INFO | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-03 21:01:11,161 | apscheduler.scheduler | INFO | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-03 21:01:11,161 | apscheduler.scheduler | INFO | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-03 21:01:11,163 | apscheduler.scheduler | INFO | Added job "Auto-Trigger Claims on Disruption" to job store "default"
2026-04-03 21:01:11,164 | apscheduler.scheduler | INFO | Added job "Weekly Reset � Hourly Limits" to job store "default"
2026-04-03 21:01:11,164 | apscheduler.scheduler | INFO | Added job "Check Plan Expiry & Send Notifications" to job store "default"
2026-04-03 21:01:11,165 | apscheduler.scheduler | INFO | Added job "Clean Up Old Disruption Events" to job store "default"
2026-04-03 21:01:11,165 | apscheduler.scheduler | INFO | Scheduler started
2026-04-03 21:01:26,169 | apscheduler.executors.default | INFO | Running job "Auto-Trigger Claims on Disruption (trigger: interval[0:00:15], next run at: 2026-04-03 21:01:41 IST)" (scheduled at 2026-04-03 21:01:26.154676+05:30)
2026-04-03 21:01:26,169 | apscheduler.executors.default | INFO | Job "Auto-Trigger Claims on Disruption (trigger: interval[0:00:15], next run at: 2026-04-03 21:01:41 IST)" executed successfully
2026-04-03 21:01:26,955 | httpx | INFO | HTTP Request: GET https://api.openweathermap.org/data/2.5/weather?lat=13.05&lon=80.2824&appid=06e59ab3b39a81683e602bc4dd44e88e&units=metric "HTTP/1.1 200 OK"
2026-04-03 21:01:27,440 | httpx | INFO | HTTP Request: GET https://api.openweathermap.org/data/2.5/weather?lat=12.9816&lon=80.2209&appid=06e59ab3b39a81683e602bc4dd44e88e&units=metric "HTTP/1.1 200 OK"
2026-04-03 21:01:27,939 | httpx | INFO | HTTP Request: GET https://api.openweathermap.org/data/2.5/weather?lat=13.0012&lon=80.2565&appid=06e59ab3b39a81683e602bc4dd44e88e&units=metric "HTTP/1.1 200 OK"
2026-04-03 21:01:28,478 | httpx | INFO | HTTP Request: GET https://api.openweathermap.org/data/2.5/weather?lat=13.0067&lon=80.2206&appid=06e59ab3b39a81683e602bc4dd44e88e&units=metric "HTTP/1.1 200 OK"
2026-04-03 21:02:03,813 | apscheduler.scheduler | INFO | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-03 21:02:03,819 | apscheduler.scheduler | INFO | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-03 21:02:03,819 | apscheduler.scheduler | INFO | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-03 21:02:03,820 | apscheduler.scheduler | INFO | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-03 21:02:03,821 | apscheduler.scheduler | INFO | Added job "Auto-Trigger Claims on Disruption" to job store "default"
2026-04-03 21:02:03,822 | apscheduler.scheduler | INFO | Added job "Weekly Reset � Hourly Limits" to job store "default"
2026-04-03 21:02:03,822 | apscheduler.scheduler | INFO | Added job "Check Plan Expiry & Send Notifications" to job store "default"
2026-04-03 21:02:03,822 | apscheduler.scheduler | INFO | Added job "Clean Up Old Disruption Events" to job store "default"
2026-04-03 21:02:03,822 | apscheduler.scheduler | INFO | Scheduler started
2026-04-03 21:02:18,816 | apscheduler.executors.default | INFO | Running job "Auto-Trigger Claims on Disruption (trigger: interval[0:00:15], next run at: 2026-04-03 21:02:33 IST)" (scheduled at 2026-04-03 21:02:18.813702+05:30)
2026-04-03 21:02:18,816 | apscheduler.executors.default | INFO | Job "Auto-Trigger Claims on Disruption (trigger: interval[0:00:15], next run at: 2026-04-03 21:02:33 IST)" executed successfully
2026-04-03 21:02:19,389 | httpx | INFO | HTTP Request: GET https://api.openweathermap.org/data/2.5/weather?lat=13.0067&lon=80.2206&appid=06e59ab3b39a81683e602bc4dd44e88e&units=metric "HTTP/1.1 200 OK"
2026-04-03 21:02:19,824 | httpx | INFO | HTTP Request: GET https://api.openweathermap.org/data/2.5/weather?lat=13.0358&lon=80.2332&appid=06e59ab3b39a81683e602bc4dd44e88e&units=metric "HTTP/1.1 200 OK"
2026-04-03 21:03:27,609 | gigsecure.app.main | INFO | ✅ Database seeded successfully
2026-04-03 21:03:27,615 | gigsecure.app.main | INFO | 🚀 GigSecure API Starting...
2026-04-03 21:03:27,619 | apscheduler.scheduler | INFO | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-03 21:03:27,622 | apscheduler.scheduler | INFO | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-03 21:03:27,622 | apscheduler.scheduler | INFO | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-03 21:03:27,622 | apscheduler.scheduler | INFO | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-03 21:03:27,624 | apscheduler.scheduler | INFO | Added job "Auto-Trigger Claims on Disruption" to job store "default"
2026-04-03 21:03:27,624 | apscheduler.scheduler | INFO | Added job "Weekly Reset — Hourly Limits" to job store "default"
2026-04-03 21:03:27,624 | apscheduler.scheduler | INFO | Added job "Check Plan Expiry & Send Notifications" to job store "default"
2026-04-03 21:03:27,624 | apscheduler.scheduler | INFO | Added job "Clean Up Old Disruption Events" to job store "default"
2026-04-03 21:03:27,625 | apscheduler.scheduler | INFO | Scheduler started
2026-04-03 21:03:27,625 | app.background_jobs | INFO | ✅ Background Scheduler Started — 4 jobs registered
2026-04-03 21:03:27,625 | gigsecure.app.main | INFO | ✅ Startup complete — Background jobs active
2026-04-03 21:03:42,637 | apscheduler.executors.default | INFO | Running job "Auto-Trigger Claims on Disruption (trigger: interval[0:00:15], next run at: 2026-04-03 21:03:57 IST)" (scheduled at 2026-04-03 21:03:42.618885+05:30)
2026-04-03 21:03:42,638 | apscheduler.executors.default | INFO | Job "Auto-Trigger Claims on Disruption (trigger: interval[0:00:15], next run at: 2026-04-03 21:03:57 IST)" executed successfully
